ResponseId,StartDate,OverallSatisfaction,OpenResponse,QuestionCategory
R_1lh6Tmgj6weoG6b,3/23/19 21:18,10,I am grateful for this option because the majority of  my classes use publisher1 so I am able save money.,1
R_1gzjltPZSS3Z1Mw,3/29/21 0:20,9,"I am happy that all of my text books are in one place. The only thing I would change is I wish there was a way to have a hard copy of the book as well. Also, not all text books have the same features wish that was different.",1
R_3Uh9nZ7fs5tBirn,3/5/20 19:12,9,I am happy that I can use publisher1 for more than one class and it functions well!,1
R_2t9GHG10xNKYQ0W,1/18/19 11:16,9,I am happy with publisher1 because now I have all the books I need in order to stay up on all the classes I have taken before.,1
R_3JCUOTqvXrGzc95,3/26/19 9:35,3,"I am happy with the access to online textbooks, but very unhappy with the lack of credible information available about publisher1, especially related to the promise of renting a physical textbook for 8$.",3
R_3dXSkdZNH6gIfdA,2/7/20 23:51,6,I am happy with the navigation and setup of product2. I am able to access my book and its platform1 assignments easily. I do not like the fact that I was required to purchase the entire publisher1 subscription for access to a single book and its platform1 connection. ,1
R_QoJ3EVrFXtfHt73,3/13/19 22:57,9,I am happy with the product but haven't really used it to its full potential.,1
R_3Hk3y2rrytCGniQ,1/17/19 6:44,6,i am having difficulty in downloading a book on my dashboard onto my bookself.  ,2
R_2e3bHumo2F1FPD6,10/23/18 10:00,1,I am having difficulty linking my Heinle Learning account so I am unable to complete online assignments for class and am unable to find the links and access codes and have no idea how to figure it out. ,2
R_30iUUBUyuDPBIM1,8/27/20 21:33,3,I am having issues with accessing all of my courses,1
R_R2MVGx6JCfC1JKh,9/7/18 11:37,8,I am having issues with the platform4 courses after trial period. publisher1 is working on it.,1
R_3EoPZMWVZD8f7HE,9/26/20 20:35,7,I am having issues with the server and latency in utilizing it! Very frustrating. ,1
R_24MIWA8xiWnTSgj,2/28/20 1:28,5,I am having to retake this course and can't get into a blank answer sheet. also it took me forever like a day to getlogged back in to publisher1I am still waiting on my instructor to help me with this but other than that I thin you are awesome.,1
R_2WZo3HNkXicVXBY,3/7/20 18:10,7,i am having triuble today with publisher1 not responding. i keep needing to stop script and start over. this is irritating when yiu are tryinh to complete an assignment or test.,1
R_3ReC8fMJalmSPnn,3/27/21 16:14,1,"I am having trouble downloading certain items, it is annoying and I tried to get help to print, but I keep getting logged out, makes it more annoying",1
R_7QmcIW1GPQjHuIV,9/30/20 18:08,6,I am having trouble with some of my quizzes,1
R_2uycNa3YOfboTOP,6/29/19 20:10,8,"I am in between feelings for this option.  More towards the liking hence the 7 rating, but it seemed a bit pricey when I only needed this for a couple months (purchased the 4 month option).  I could see it being better for those that need it for multiple classes/books.  For me personally it wasn't really worth (currently), but maybe in the future.  ",3
R_3NJ2nfBw2Z7aAa5,9/25/18 16:36,10,I am in multiple classes through publisher1 and it was not clear if a one time purchase of product2 would work for all my classes.,2
R_2tFHm4dtMUrsyeV,1/30/19 17:41,6,I am just generally dissatisfied with the product and interface. ,4
R_1MYgJ9rInlN3MIG,1/27/20 0:36,7,I am just getting to use it. i will know has time goes on.,1
R_26gA0ECxLTvFxPz,10/21/18 21:35,4,"I am just unhappy with how difficult it is to navigate the website. It is not user-friendly. In this day and age, technology is everything, especially for online courses. This should be remedied immediately.",3
R_r26BlbBc1ZypUU9,9/30/20 11:03,10,"I am learning so much more than I even knew existed, I enjoy the class.",1
R_26njgJODqZqTOM7,3/6/20 23:56,1,I am logged out after not turning the page in a timeframe that publisher1 thinks I should.  I also dislike online books due to light sensitivity and I get multiple headaches.,1
R_3oKFPb0wqrBE2YZ,3/27/19 15:02,7,"I am loving it. It has saved me a little money since I have multiple classes that use publisher1 in a semester. The only problem I have is the difficulty accessing things that should come with my subscription. The book is listed that it comes with publisher1, but when I try and access it publisher1 wants me to pay for it even though I have paid for the subscription. ",1
R_24FVjGypi2z1Bq4,4/21/20 1:56,10,I am more thankful for publisher1.com than many of the other parts of my life.  Thanks publisher1.,1
R_Q0WrSweQCAbeOGZ,9/29/20 13:57,6,I am mostly satisfied but having trouble finding some of my ebooks,1
R_12JDpmwROYiseCb,3/18/19 7:41,7,I am never happy about spending hundreds of dollars.,3
R_3M6beZO4qp9qwzW,7/22/19 11:08,5,I am new and I am finding it hard to understtand the process.,1
R_3HpMxseHZQKmkTp,9/28/20 8:59,8,I am new to navigating it so I am still learning. It is a great tool to use in the class that I have. I am still getting to know it though. I do like the freebies you get from other sources like Evernote and product3.,1
R_26l3WQAyt3YFEIE,10/3/20 20:36,7,I am new to publisher1 and still unsure of all it has to offer.,1
R_4OS1DqTMSJYy2w9,3/14/19 12:58,9,I am new to this product so it is a working progress.,5
R_AKwR8CC9Rynri49,12/18/18 11:00,4,I am new to working with computers. It was confessing to work with when you have no computer skills.,2
R_2ANpy7G6mrEdXoy,9/26/19 9:10,8,I am not a fan of the format of the book. It is very confusing and not easy to find what you're looking for.,1
R_25HJQvHhbPYmRJW,12/16/18 11:11,3,"I am not a fan. Standardizing the entire education system on this program is questionable. The tests are more to learn what the context and the exact phrasing rather than what the material was I just read. I am learning to make sure I know the exact phrase reather than the meaning. What is the point in this? There are many times the students have to inform the professor of wrong answers on the tests...why?!?! Get it together already, a very sloppy program and monopolistic. Monoplolizing my education is concerning since education is not one size fits all which is the publisher1 way. ",1
R_1jBb7Jx6mv24RXP,10/1/20 17:03,8,I am not a huge fan of reading online but the program overall has been good.,1
R_QcftKJM0XZwb6Hn,1/22/19 18:42,7,I am not able to access one of my products. I have to use another url provided by my instructor to access.,1
R_3iWpEvVPZrr8tSB,1/27/19 22:00,1,I am not able to access the book that I need. I blindly purchased some subscription for $119 and can't even access anything on the page without a general error code.,3
R_exrxtiGmCANHy8N,12/13/18 23:02,4,"I am not able to access the study resources (even though I purchased product2) because my professor is not utilizing publisher1 or platform1 so they do not have a course key to provide when asked (and I have asked each one).

The lack of page numbers is seriously disturbing for a textbook company that should understand that page numbers are essential for writing papers and citing sources properly. 

I very much regret purchasing a two-year subscription as I can't complete my course assignments correctly without page numbers and I am not able to access or utilize the study features as advertised. ",1
R_1LYDVs7XEdoKGxx,2/12/19 10:53,1,I am not able to download all of the chapters on the Microsoft 2016 book. I purchased the online text with intentions of having all the chapters.  I am confused on why all the chapters will not show.,1
R_3PdHhJ5xUBox2CY,10/3/18 23:27,7,I am not able to find any study material or PowerPoint slides which was included with the purchase,4
R_1jlZ7rsGTuWany5,2/20/21 17:42,1,I am not able to get into my textbook and I have called several times and no one seems to want to help!,1
R_2XmSnWi6HcPVNb4,4/21/21 14:23,5,I am not able to get onto some of my assignments which is making me not do well in my courses.,1
R_5sAXqdz2njt1zvH,2/28/19 9:04,5,i am not able to login into the Product1 account that comes with the package of publisher1 unlimted,3
R_3I07aiMRuSHARUj,1/29/20 11:25,1,"I am not able to open my courses, which have been purchased, and I'm missing class assignments",1
R_2VeZXyZHduLKEpd,7/25/19 17:16,1,I am not able to purchase a $7.99 rental with this course as stated on the promotion prior to purchasing product2. This was a waste of money and now I am forced to purchase the book anyway. This promotion was very poorly explained and customer service did not provide any adequate options.  I will not be using or recommending publisher1 in the future. ,1
R_2c0BnlJJXLlkHQN,1/18/19 9:30,5,I am not able to see my class when i log in,3
R_2YzwGLtFisJfpAC,2/24/20 23:09,7,"I am not able to use the ""study tools"" unless I select the ""ebook.""  I also wanted  to create a study group and publisher1 gave me information and a quiz to create a study group, but I was not able move forward to create one. ",1
R_3qQBiCQF0kDa95E,11/7/20 16:43,4,I am not able to use the search button to search words or sentences I know is in the book. ,1
R_2bHGjwAMgKTxwyF,4/25/19 15:28,9,I AM NOT ABLE TO VIEW SOME OF MY BOOKS ON OTHER DEVICES SUCH AS MY IPAD,1
R_2aPOmQIXbbUukgI,3/30/20 14:46,5,i am not allowed into my class things at the start of the year ,1
R_3Pw5nIk9MnGP5XJ,10/3/20 14:59,7,I am not completely satisfied. ,1
R_5baDyf2YikFR95L,3/18/21 11:53,4,I am not familiar with what this program has to offer. This is my first semester using this program and I wish I would of had a little bit of training on it,1
R_2pJHgjDwhsRlIXj,2/16/20 19:17,2,I am not finding my materials easily,1
R_YYzv81uXHWdLpUl,7/13/19 14:18,1,I am not getting proper help.,1
R_RWYHsud3EgNFlEl,3/19/19 13:55,4,I am not getting product2 services as expected,1
R_25HJQvHhbPYmRJW,12/16/18 11:11,3,I am not going to repeat myself.,4
R_3Eilz00Pb4R0YPn,4/26/21 13:13,1,"I am not happy with your service at all. I think that it is unfortunate that in order to obtain any type of help you must answer a question wrong, which has an impact on your grade. I have used other online systems before that allowed for tutoring as well. It seems like a lot of money just to basically get a book.  ",1
R_3oWRhx5lWoGc6oI,2/8/19 19:42,1,"I am not having a good experience with this process. It has been an absolute nightmare. It is not user friendly, I deleted products to add others, or re-add what I shouldn't have deleted but the option to re-add are not showing up. I feel that I will not pass this class because of this process. My professor wants to use this workbook on this which  is why I'm stuck here. It should not be this complicating!",2
R_31LtVhE1lqpm5Si,3/28/19 21:00,7,I am not one of the best with electronic material. I still need a print in my hand to leaf through as fast as I can ( slow me),1
R_1lzV7HWegK2lp3m,1/29/20 14:21,7,i am not satisfied,1
R_2tFHm4dtMUrsyeV,1/30/19 17:41,6,I am not satisfied with the product and I intent only to recommend the product to people as a last resort. ,1
R_2CdMytOBhu9mABr,10/28/20 14:27,2,I am not seeing a book that is assigned to the course,1
R_3HnyWvUnAauA9li,9/29/20 14:04,7,"I am not sure how to take advantage of  product called product2. It helpse me assume I have access to all sorts of item, I was not able to truly find a study application to help study for test, I do not have a copy of the book in hand, I only have one class i use this application with, so again, not sure what the product2 meant to me.  Outside of that remark, I have been able to use the functions to the best of my ability and therefor the process is adequate.",1
R_1Cr2TRMfhNWkgPK,4/2/19 23:12,3,"I am not sure if it is because of how slow my internet is but I have troubles watching your demo videos, and for what I am forced for pay for your guy's services. I find the lack of insight as far as differentiation on very intricate but important topics in your instruction videos such as those dealing with interval estimations, to be very frustrating. The videos on this are not explicitly clear as to what the differences are from case to case and why the margin of error is calculated differently.",1
R_1In4TGTaLOkzmpg,9/10/18 12:17,5,"I am not sure if this is an instructor or publisher1 decision, but requiring capitals/punctation/letter accents for short answer questions is a serious pain. It does not help with the learning process and makes me spend 2x as long on the material to get my points! Unnecessary inconvenience!",1
R_25sXaznUe9atyqS,5/2/19 14:03,6,I am not sure what the product2 means,1
R_u4UAtmgNvhkNGg1,9/30/18 13:40,8,I am not sure. ,4
R_3emXN70oZ36vUcm,1/29/20 13:40,2,I am not using the product2 version to its full potential quite honest i am starting to wonder if it was a good investment?,1
R_eQjGLKkG6W6JPe9,4/21/21 10:51,10,"I am not very computer savvy, but I find publisher1 easy to navigate.",1
R_2YAt562MpLQ1NkU,2/17/19 23:37,7,"I am now unable to find information on how to register with partner sites such as Product1 for easy bib, etc",3
R_32URXNGny2HJZJM,10/1/20 9:26,7,"I am often confused, as if I am suppose to know the course material coming into this class! I am here to learn the course in efforts to succeed!",1
R_2pW6dxCPPDQbIdF,9/15/18 10:54,7,I am okay with the course that is being offered but it is sometimes difficult to log in and due to some mixup with registration. I can not access publisher1 from my school website and this can make things difficult.,1
R_3oGaLh8wXxVbPrp,1/28/20 21:46,7,I am overall satisfied with publisher1 but because its for school I can't be like wow I love it,1
R_2v7CjsZI6SCWR3M,4/26/20 11:25,2,I am paying so much to barely use the ebook,1
R_3Jw6VCHT95A92xS,9/29/20 20:40,6,"I am pretty much happy with how easy it is to access different assignments and I do like how it tells me when assignments are due soon, however I find it annoying that whenever I open gradebook, there's no back or exit button so I have to go all the way back to the homepage. ",1
R_zdrasZlh90o4fS1,2/13/20 16:33,1,"I am publisher1 subscriber. I am taking classes in Coastline Community College, Garden Grove, California. Three weeks have already gone by and I am not able to get rental print version for $7.99, Product1 site says I have to pay $38.99. I talked to my instructor, he said, he is not familiar with this.",1
R_T01XrotEWvQ6FgZ,10/5/20 0:36,9,I am quite satified with publisher1 except for the price.,1
R_40n1yhA98LQMtHz,9/19/18 14:28,10,I am really enjoying this program. ,1
R_2VsRqfKwptmXkHY,7/11/19 15:21,10,"I am really happy with the price and the product2 access that comes with this subscription. However, one of my books isn't available in the app so I have to carry my computer in order to access the book. I loved being able to access my books through my phone because it's easier than carrying my laptop around with me. Other than that I am completely satisfied with this subscription. I wish other publishers did the same so it can be more affordable for students. THANK YOU FOR BEING AWESOME!!",1
R_2B4gyQsmmX7DfXI,9/29/20 18:03,10,I am really satisfied with how smoothly it runs.,1
R_3eesK1CRteku8PT,9/24/20 15:16,5,"I am required to pay for this subscription for my class.  I am not happy that it is so expensive especially considering the effort by publisher1 to provide this educational service.  I also am not pleased that I cannot access a previous semester's content after the course expired.  publisher2, publisher5, and publisher1 are part of the reason higher education is less personal and more expensive than it has ever been.   ",1
R_3JC5IG9JwuZf22D,9/28/19 17:24,5,I am right in between the middle of being satisfied and dissatisfied due to homework being averaged. ,1
R_27OO0gQnVmBtNaQ,11/6/20 15:33,10,I am satisfied because publisher1 is cheaper than buying my two textbooks alone,1
R_1gvjqvT54Tzs9pW,3/24/21 15:37,8,"I am satisfied with everything about it, expect when I do some of the assignments, it doesn't always save/register the answer after I've already clicked check my work, so then at the end of the assignment I have to go through and recheck every answer. ",1
R_2uVcv2e1mLZQ8lN,9/30/20 17:05,10,I am satisfied with it.  I am glad I was able to rent the book for the price I did because I like having the online version and the actual book. Its easier to have the book in hand when doing the homework online.,1
R_21gQ9utrLfAMHZ4,3/10/20 11:57,9,I am Satisfied with online literature and flash cards when available.,1
R_barUagbWE7gevSN,8/24/20 8:14,8,I am satisfied with publisher1 so far. ,1
R_cTnP3QZuWVTYfC1,9/25/19 13:08,5,"i am satisfied with the access to the material, however, the ""mastery training"" in one of my courses should be renamed ""memorization training"" because it only tests on the recall of the most basic, vauge, and inaccurate definitions of terms. If you want to call it ""mastery training"" the material should get progressively more difficult and provide a better understanding of the concepts involved.",1
R_2awVIrlTV4AiYJ2,3/2/20 18:34,8,I am satisfied with the courses and ease of accessing the text/ online material. ,1
R_1mjZ4CXv0dnQR0L,4/1/19 14:05,8,"I am satisfied, but not completely.  My only ""complaint"" is that the ""Read It' button on the homework assignments doesn't go to the exact issue of the question.",1
R_1jvxKbk7jRLhW7S,2/25/20 17:24,8,I am satisfied. Nothing more nothing less.,1
R_3rHswOByy8nDBFT,2/27/21 23:21,10,I am satisfy because I am able to take my books any were I need them.,1
R_3P79FgoZ56i9HIb,3/19/19 11:31,10,I am so far satisfied with this program for my college studies.,1
R_40FxeY7iWSLQed3,2/27/20 11:04,3,I am so tired of this program making rounding errors and asking for such specific criteria. I end up trying to find out how to please the program with the type of inputs it is looking for rather than actually solving the problems. This program is horrible and constantly crashes. I hope to never use this again after this semester.,1
R_WdDSszXPCUYvcXL,3/16/20 13:20,6,"I am somewhat satisfied, however, I am not satisfied that not all of your e-books can be utilized on the publisher1 app.",1
R_3PhlhMxF71QZfxu,9/27/20 13:00,6,I am spending a significant amount of money but I can only rent the copies of the books. I would like to be able to keep the books but I can't afford the product2 for the platform1 activities in addition to the paper copies of books. There should be an option to buy the books but still have access to platform1 for a reasonable price. ,1
R_1OvFc55j3vfon1p,1/17/19 14:33,2,I am still clueless how to fix my issues and get started ,4
R_Xi9Qx9NeNPNhICl,3/21/19 23:58,10,I am still finding my way around but searching a topic or phrase seems to little hard,4
R_3Ok4EMZ28Psr4DA,9/8/18 22:21,9,"I am still getting used to this.  I believe as I learn more, my scoring scale will increase.",1
R_A5lMfXlHhWxzaZb,4/5/20 18:27,3,I am still having trouble accessing products even though I paid for product2 access,1
R_ZxBG59OaMyZ6xTH,2/18/19 13:22,1,I am still not allowed into my platform2 course. ,3
R_qxTvgMIi6uVpjax,10/29/18 3:26,6,I am still not sure how the subscription works. I bought 3 books with access codes and I apparently only needed one. so i wasted money in buying the other ones. And then my physics and calc books are going to be the same for next 2 semesters. Would I have to buy the whole book or what?,2
R_2ZJ6MS1BuG5S7c8,2/11/19 2:01,9,I am still trying to find how to receive a print copy of my books to rent during the semester. this was offered through publisher1 yet i have still been able to access it ,1
R_9XiKR6nxoSG1eAp,10/4/18 12:01,1,I am still trying to find my book and the access code so I can do homework for my class,4
R_116neCY2NYkaq8z,9/15/20 0:34,5,I am still waiting on a reply in regards to refunding the payment that has been made for publisher1 ($120) when it has not yet been renewed.,1
R_1OvFc55j3vfon1p,1/17/19 14:33,2,I am struggling to find what I need with this website! ,1
R_DcKEY58oeXozniN,4/10/20 15:32,1,i am subscribed to receive a textbook online with my course and its not available. I am a working student who paid 120 dollars for this program and it doesn't work properly. ,1
R_2vc6CaTCveq67Hf,2/21/21 13:07,2,i am super confused n having tech difficulties,1
R_1me1FHKAsWOzWaL,10/1/18 22:22,4,I am supposed to use a product Harris Care Tracker.  I discovered today that when you use the digital version of publisher1 it doesn't give you credentials to access the simulation I need that goes along with the eBook.  I'm very unhappy!,4
R_21z9I8D4YHWEhWk,9/1/20 19:22,10,I am surprised by how much material is available for such a small investment and It is easy to navigate. ,1
R_41jdlAiRdBO2ZSF,1/31/19 19:45,10,"I am taking another class in publisher2 and publisher1 is amazing.   I wish all of my classes were in publisher1. I love how you can print out problems, have several screens of a problem open so they can be see, the video explanations --  i am so thankful for how this website works. I learn so much more from publisher1.",1
R_1mmvhdywbf0Uc63,1/23/19 21:56,2,"I am taking MCSE/MCSA windows server 2016. In the  Live Virtual Machine Labs, the labs are sequential, and I get dun halfway, and the virtual server will slow and not respond.  Then I have to start over. ",1
R_3sbnKRsUTx5VrZU,4/27/20 11:41,7,I am taking medical coding classes.  On some questions that I know without a doubt I have the code right on it says it's wrong because you probably haven't changed the answer from last years and the code changed for this year.  That is very frustrating and confusing.  Our teacher has to go in behind you all and check the ones that you said we got wrong and adjust our grades accordingly.,1
R_2qFey1J7lmsDX6K,12/10/18 0:35,9,"I am taking two classes and the savings are appreciated. I have been happy with the value and quality. I don't often have a choice with what textbook or learning software to use, but I would definitely choose this system if I could.",1
R_2QPuQxK32IYD3Ew,4/13/20 15:29,10,i am truly greatful for the use of the product2 use of publisher1 during this hardship.,1
R_3R8ZLvrQF5ikHsH,8/23/20 20:53,1,"I am trying to access scoglab 5, which is supposedly included in this product2 subscription. However, when i click 'open' or 'add to home' it says it is unable to access. I need it for school, and I had subscribed already.",1
R_3nI2ufo3i3K5Mfq,12/12/18 15:44,8,"I am trying to figure out how to add textbooks to my dashboard for my next semester, and can not find how to do it anywhere",1
R_qOsKNBlZLr9KaKl,12/2/18 1:08,6,I am trying to find classes that I can use publisher1 for my books before registering. It is more cost effective that way but also frustrating.,4
R_2EyHTNHT9EaYvyA,2/16/20 1:18,5,I am trying to get a tutorial on platform1 exams and I can't find one?,1
R_1K78cOID6Xb61OA,2/3/19 21:42,1,I am trying to get my web design intro digital book and I don't know where to go. it's leading me round and round in circles.,2
R_ePdGwT1ZV73xSz7,6/24/19 20:11,4,"i am trying to input an access code for one of my books and each time i hit submit, it just stays on the same screen and does nothing. Ive done it in upper/lower case as well,but nothing.",1
R_3O6L7WaPwHOfLrc,2/9/19 13:00,3,I am trying to link publisher1 from platform2,4
R_3NIkbUfwZDqvL87,2/20/19 18:03,1,"I am trying to log into my sons online book for him. He registered the book and now we cannot find anything. The terminology on the receipt is not the same as on the website so I do not know what is an access code, course number Transaction number , pin number. I am a fairly intelligent woman and I find this very frustrtating.",2
R_3O6L7WaPwHOfLrc,2/9/19 13:00,3,"I am trying to register a class, I already have publisher1 yet I have to do all this transferring process from platform2 that leads me to no solution?  ",2
R_3qTZPRKE1MgACzd,10/24/20 16:16,4,I am unable to access all of my course assignments,1
R_XmM9iHIEqeClNFT,3/7/19 13:04,1,I am unable to access my ebook from my home page. it doesn't allow me to add it to my home and the overall user ability is fairly poor. ,2
R_30k3INrP7lK7jNf,3/2/19 17:10,6,i am unable to access publisher1 by putting in a password. simply because I have no idea where to set one up. some direction on how to use the online software would have been awesome. now I am totally lost and fumble through using it. ,4
R_3g7L01mcUfvuDEh,10/2/18 4:15,4,"I am unable to access the study materials, and have a request in for help.  ",1
R_2b45YOHWxit0WIW,1/28/20 18:58,1,"I am unable to complete my assignments because prerequisites are not met. However, nowhere is there information on what prerequisites need to be completed for me to be able to access the assignment. This has resulted in a low grade as i am unable to complete the assignments in time. . ",1
R_1i5ykNPPndKYIdj,3/4/19 20:18,8,I am unable to download all of the textbooks to my tablet to be used offline.  I am only able to access one of them.  I find that disappointing.  The help feature was not able to assist.,1
R_3nvIvbscwbksUvY,2/14/20 10:33,6,"I am unable to download books to my computer, and there are some glitches with the homework system.",1
R_3kpqtjoJ2RlVFVn,3/31/20 13:34,1,I am unable to get to my products and have not been able to get any help.,1
R_3Uk3nHGHQjxjLBn,10/26/18 12:57,2,I am unable to open my book.,2
R_3Uk3nHGHQjxjLBn,10/26/18 12:57,2,I am unable to open my book.,3
R_3Uk3nHGHQjxjLBn,10/26/18 12:57,2,I am unable to open my book.,4
R_12Aa12rpDZJY8GB,1/29/19 23:41,8,I am unable to open my textbook. It's been hard to bounce between assignments and the textbook. ,4
R_1JVdgPSgZMdP7rl,4/30/19 18:50,9,I am unable to remove items from dashboard. It is fustrating to have to be calling in because of known issues. Like browser issues. ,1
R_3kcbwGyPfsoho3P,9/25/19 20:59,5,I am unable to rent to text books with 7.99 deal due to not being able to LINK my class,1
R_3ql3iDCfcfMy9pD,8/29/20 14:49,5,I am unable to save it as a bookmark in Chrome where I stay logged in.,1
R_2c0BnlJJXLlkHQN,1/18/19 9:30,5,I am unable to see my other class on here and i dont know how to fix that.,2
R_1hGpziHmPRoUn8E,4/26/19 12:57,7,"I am unhappy with getting logged off from the site after an extended pause.  If I am reading or studying from a text, I shouldn't have to log in again to turn the page.",1
R_2dBfKJDeSriKWGS,1/10/19 12:27,5,I am upset I had to purchase this.,3
R_Z7EQsbNUaqLjui5,2/3/20 16:04,7,"I am used to the textbook, so it is taking me a litlle while to get used to ebook ",1
R_3Oj3R5RsUgXO8Vc,2/4/20 14:20,3,"I am using publisher1 and had problems accessing two courses. For a long time, I had to open one course at a time, logging out in between. Even now, it takes multiple clicks to access my work. I have to login, go to my dashboard, navigate to courses, navigate to my book, then navigate to my place. One in a course module, there is no straightforward table of contents menu; I have to back out of the textbook, then back into it. The module does not even have a next arrow to click into the next sequential module. The design makes it very hard to access my course material negating the benefits of having all courses under publisher1.",1
R_0INfoy7rTf640rT,2/6/19 1:22,4,"I am using publisher1 for 3 courses this term. Each course requires a different program that is linked with publisher1 suc as platform4, Aplia, and platform2. However although I have already purchased my publisher1 subscription, platform2 still requires me to purchase the subscription again. This problem has not yet occurred with platform4 or Aplia. A support ticket has been sent in but there has not been a reply on how I should go about this issue. As much as I'd like to be able to wait for assistance, there are assignments that need to be turned in and this unresolved problem is putting my grade at risk. ",2
R_1Cpac3fpMvbfoba,4/2/19 16:02,4,"I am using publisher1 for Calculus and Chemistry. For the most part the Calculus is great however the person in the video skips over some algebraic steps that for those who are not strong in algebra have trouble following. I also understand partnering with Product1 but to have that as the only resource for tutoring for students isnt helpful, especially if that student cant sign up for the trial. When it comes to the chemistry I would like to see it set up the same way that the Calculus course is set up so that students can watch a video for clarification. I am not sure if this is something that the instructor controls or if this is something that is controlled by publisher1. Those are the only areas that I can see that need improvement, the other aspects of publisher1 are fine.",1
R_2tbO0jZfoO0IbGZ,4/29/19 8:49,8,"I am usually happy with my experience on publisher1, however, in the past couple of weeks I have experienced technical failures that almost caused me to miss deadlines.",1
R_3KDSkI2bjdrLGBQ,2/19/19 0:13,10,I am very glad that I can now purchase only one access code that works for all of my classes instead of several different codes! That was very expensive for me.,1
R_25A6GaB49Jrb1ND,10/6/18 22:01,10,"I am very grateful for this new version of publisher1 platform1. I definitely believe this is better than Connect, and is easier to understand the subject. I love that you can connect your other courses at the same time with the publisher1, and is worth it. I'm highly likely to recommend this to my friends and family members.",1
R_1PdAuZb7oo8QTLG,2/21/20 13:38,9,"I am very happy with this service. I just wish the $7.99 textbook rental applied to textbooks even if you don't have a course code. My finance professor uses a publisher1 textbook, but because he does not use any online resources I could not get the cheaper physical copy.",1
R_21cF441oqLtNLUb,12/9/18 1:03,10,I am very pleased with the program ,1
R_1jULPaVK2pNDpoW,4/29/19 19:14,7,"I am very satisfied by the fundamental functionalities of what publisher1 has to offer. Sometimes, it can be a bit slow, and some of the answers that are shown are not concise enough, which is why I would give this a 7.",1
R_1ogUh32CqcF56Cn,9/15/18 17:46,8,"I am very satisfied with my purchase. Finding what I needed to purchase initially was a little confusing. I am currently enrolled in one class but know I'll be taking other courses that will use publisher1 so i knew this purchase was necessary. However, during my confusion, I emailed customer service. My trial period got down from 14 days to 4 days and I eventually, at the encouragement of my professor, bought the product2. My disappointment came from the fact that I never once heard back from publisher1's customer service team after I received an email acknowledging that I'd successfully submitted a request. After that, I heard absolutely nothing. This was extremely disappointing especially considering that I could've been suspended from my class access due to not purchasing the necessary subscription. I'm not sure why that all happened, but, hopefully it will go more smoothly next time. The product, though, I am very pleased with. ",1
R_8dcaUfQtMdiauSR,9/29/20 16:36,10,I am very satisfied with publisher1 because my homework is really easy to find and do and I love the organization of the website.,1
R_8Idasif49XTGchz,3/10/20 21:12,5,"I am very satisfied with the coursework, however the technology is cumbersome and not user friendly. ",1
R_3PQP2ofmZSaASAD,10/25/18 14:32,1,"I am very unsatisfied. There was an advertisement for free study material like Product1/product3, and that is certainly not the case. I should've just purchased the baseline access, as there is absolutely no point of product2. I tried to call and switch from the $130 product2 to the regular 90 or 92$ one, but nobody answered multiple times. Will never happen again. ",2
R_3PQP2ofmZSaASAD,10/25/18 14:32,1,"I am very unsatisfied. There was an advertisement for free study material like Product1/product3, and that is certainly not the case. I should've just purchased the baseline access, as there is absolutely no point of product2. I tried to call and switch from the $130 product2 to the regular 90 or 92$ one, but nobody answered multiple times. Will never happen again. ",3
R_3PQP2ofmZSaASAD,10/25/18 14:32,1,"I am very unsatisfied. There was an advertisement for free study material like Product1/product3, and that is certainly not the case. I should've just purchased the baseline access, as there is absolutely no point of product2. I tried to call and switch from the $130 product2 to the regular 90 or 92$ one, but nobody answered multiple times. Will never happen again. ",4
R_rj0RFqBZ1hWu8wN,9/18/19 14:53,5,"I am visually challenged (legally blind), the site is very difficult and time consuming for me to use.",1
R_2TXf8gPBbIfRpTa,2/29/20 22:45,1,I am wasting time wrestling with the lab windows instead of learning Networking.,1
R_3dWB0bRMAJW6Cvr,9/4/18 17:49,7,"I and many of my peers have had issues with the access code, also the customer service sucks i called and was told there was to many calls ahead so that i would have to email you guys. Which i did and didnt get a response back for 7 days and had to call back AGAIN! And finally had my case solved. ",1
R_2E5X4KmiokwR9Wq,10/5/18 13:38,5,I answered before,3
R_3Jb0rXpD8k2ZZkG,2/27/19 23:34,5,I answered this in the last question,3
R_pDAqk4F8VWcqmSl,3/30/20 19:17,8,I appreciate all the options given to get to the correct answer. I do think some explanations could be shorten. The videos should be more interactive. I do like the option to read the script of videos rather than just watching them. ,1
R_pDAqk4F8VWcqmSl,3/30/20 19:17,8,"I appreciate all the options given, I just utilize just enough to do my work. ",4
R_2yfO0vvlupc54xg,2/3/20 10:56,9,I appreciate being able to save money ,1
R_1DNlSG7UuLp8vcg,9/24/20 20:51,10,"I appreciate having all of my assignments in one place. However, I dislike load times on certain activites though that may be due to my own poor connection. Overall, I can appreciate the work that has been put into the site and I hope to see it do more.",1
R_23dSKERfECdGI35,3/12/20 15:05,8,"I appreciate many of the functions offered by publisher1, but have had trouble with a few items.  Bookmarks and notes that are saved mobilely are not transferred to my online account.  I have also had a lot of trouble locating digital downloads on publisher1brain.com.  It is referenced in my text, but when I go to the website, I end up on my dashboard and cannot find the digital files.",1
R_3s1i8Q92ryvZsyf,9/14/20 20:46,10,I appreciate that the chapters are separated into sections so that it seems shorter in the long run. ,1
